Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Ackron,48,onshore,,Airvolution Energy Ltd,Statkraft (100%),,,12,4,,Scotland,Caithness,Scotland,"Ackron Farm, Golval, Forsinard",,Highland Council,19/01709/SCOP,58.5338,-3.87036,NC 91200 62150,,149.9,,Development,Scoping,23-Oct-19,,,,,,,,,storage,storage: Ackron Battery Storage [Scoping Opinion Issued] ?MW,"23/10/2019 Scoping ;
06/06/2019 Scoping Opinion Issued ;
12/04/2019 Scoping ;
14/05/2015 Scoping Opinion Issued ;
25/03/2015 Scoping",,,,,,,,,,,,,23-Oct-19,Statkraft has submitted a revised Scoping Report for ackron wind farm. The revised proposal revises the site boundaries and reduces the number of turbines from 14 to 12.,RenewableUK comment
Aignish Community Wind Farm,10,onshore,,Community Owned Project,Community Owned Project (100%),,,2,5,,Scotland,Western Isles,Scotland,"Lochs Road, Lochs, Isle Of Lewis",,Western Isles / Comhairle nan Eilan Siar,18/00350/SCO_L,58.1928,-6.45143,,94,145,128,Development,Scoping Opinion Issued,16-Oct-18,,,,,,,,,,,"16/10/2018 Scoping Opinion Issued ;
27/08/2018 Scoping",,,,,,,,,,,,,27-Aug-18,A scoping opinion request has been submitted for Aignish Community Wind Farm. The projects consists of two turbines located at turbine positions 28 and 30 of the consented Stornoway wind farm. Aignish Community wind farm would only be developed should the currently consented project be unable to proceed.,RenewableUK comment
Alwen Forest,33,onshore,,Innogy Renewables UK Ltd,Innogy Renewables UK Ltd (100%),,,9,3.66,,Wales,Conwy,North Wales,4km North of Cerrigydrudion. The infrastructure is within Conwy County Borough Council but part of the scoping application site is within Denbighshire County Council.,,Conwy County Borough Council,,53.0778,-3.56155,SH 95490 54533,,200,,Development,Scoping Opinion Issued,01-Oct-18,,,,,,,,,,,"01/10/2018 Scoping Opinion Issued ;
03/08/2018 Scoping ;
28/06/2018 Development",,,,,,,,,,,,,01-Oct-18,The Planning Inspectorate has issued its Scoping Opinion for Innogy's proposed Alwen Forest wind farm which is a Development of National Significance.,RenewableUK comment
Armadale,48,onshore,,Brookfield Renewable UK Ltd,Brookfield Renewable UK Ltd (100%),,,16,3,,Scotland,Caithness,Scotland,"Cromsac Hill, Land 1100M South Of Armadale Farm, Armadale",,Highland Council,16/05807/SCOP,58.5347,-4.07695,NC 79177 62603,,145,,Development,Scoping Opinion Issued,16-Feb-17,,,,,,,,,,,"16/02/2017 Scoping Opinion Issued ;
21/12/2016 Scoping",,,,,,,,,,,,,,,
Auchenlongford,20,onshore,,Wind Estate (UK) Ltd,Wind Estate (UK) Ltd (100%),,,5,4,,Scotland,East Ayrshire,Scotland,"Mauchline, KA5 6JF",,East Ayrshire Council,19/0013/PAA,55.5255,-4.25204,NS 57937 28057,,140,,Development,Development,05-Sep-19,,,,,,,,,,,05/09/2019 Development,,,,,,,,,,,,,,,
Bachan Burn,51,onshore,,Brookfield Renewable UK Ltd,Brookfield Renewable UK Ltd (100%),,,17,0,,Scotland,Argyll & Bute,Scotland,Cowal and Trossachs Forest,,Argyll and Bute Council,,55.9327,-4.97226,NS 14429 75062,78,119,,Development,Development,18-Aug-17,,,,,,,,,,,18/08/2017 Development,,,,,,,,,,,,,18-Aug-17,The Scottish Government Energy Consents Unit met with Brookfield on 16th August 2017 to finalise the submission of the application for Bachan Burn. It is anticipated that the application will be submitted on 27th November 2017.,RenewableUK comment
Back Hareshaw Farm,20,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,5,4,,Scotland,South Lanarkshire,Scotland,"Back Hareshaw Farm, C138 Hairshaw Highway, Strathaven,  ML10 6QN",,South Lanarkshire Council,P/19/1278,55.6426,-4.1962,NS 61873 40974,,150,,Development,Scoping,21-Aug-19,,,,,,,,,,,"21/08/2019 Scoping ;
03/04/2019 Scoping Opinion Issued ;
12/03/2019 Scoping ;
11/07/2018 Scoping Opinion Issued ;
11/06/2018 Scoping",,,,,,,,,,,,,21-Aug-19,Cleanearth has submitted a Scoping Opinion Report for Back Hareshaw wind farm consisting of five turbines with maximum tip height of 150m.,RenewableUK comment
Bad Fearn,49.9,onshore,,Energiekontor UK Ltd,Energiekontor UK Ltd (100%),,,10,4.99,,Scotland,Highland,Scotland,"Braemore Road, Dunbeath",,Highland Council,19/02927/SCOP,58.2659,-3.49885,ND 12163 31777,115,200,,Development,Scoping Opinion Issued,22-Aug-19,,,,,,,,,storage,storage: Bad Fearn Battery Storage [Scoping Opinion Issued] ?MW,"22/08/2019 Scoping Opinion Issued ;
28/06/2019 Scoping ;
05/06/2019 Development",,,,,,,,,,,,,22-Aug-19,The Highland Council has issued its Scoping Application Decision.,RenewableUK comment
Balbeg Farm,1,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,1,,Scotland,Caithness,Scotland,"Land 625M SE Of Achanarras Quarry, Halkirk",,Highland Council,17/05744/SCRE,58.4646,-3.45619,ND 15145 53844,,130,,Development,Scoping Opinion Issued,09-Jan-18,,,,,,,,,,,"09/01/2018 Scoping Opinion Issued ;
11/12/2017 Scoping ;
30/11/2017 Scoping Opinion Issued ;
30/10/2017 Scoping",,,,,,,,,,,,,09-Jan-18,An Environmental Impact Assessment will be required to support a planning application at Balbeg Farm,RenewableUK comment
Ballygilbert,50.4,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,14,3.6,,Northern Ireland,Co. Antrim,Northern Ireland,"In the townlands of Ballycoos, Ballygawn, Ballygilbert, Lisnahay North, and Lisnahay South, and is approximately 3km North west of the village of Carncastle Larne",,DOE Strategic Planning Division,LA02/2019/0568/PAN,54.9232,-5.92642,NW 48510 65783,,149.9,,Development,Development,19-Jul-19,,,,,,,,,,,19/07/2019 Development,,,,,,,,,,,,,19-Jul-19,RES has submitted a proposal of application notice for Ballygilbert wind farm consisting of 14 turbines with tip heights up to 149.9m and a total installed capacity of up to 50.4MW,RenewableUK comment
