Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
A & P Tyne,2,onshore,,Wind Direct Ltd,Renewables Direct Ltd (100%),,,1,2,,England,Tyne & Wear,North East,South Tyneside,,South Tyneside Council,ST/0186/08/FUL,54.9844,-1.51667,NZ 31029 65640,80,127,94,Consented,Approved,Consented,07-Apr-09,07-Apr-12,20 years after first generation,,,,,,,,,"07/04/2009 Approved ;
01/01/2008 Submitted (LPA)",01-Jan-08,(LPA) ,07-Apr-09,Approved (LPA) ,,,,,,,,,,,
"Abbey Road, 209 Turbine 1",0.25,onshore,,Wind NI Ltd,Resonance British Wind Energy Income (100%),Bonus,Bonus,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,"305 East of 209 Abbey Road, Newtownards",,Ards and North Down Borough Council,X/2013/0308/F,54.5921,-5.54138,NW 71310 27644,40,49.5,39,Operational,Fully Commissioned,Consented,21-Jan-17,,1 years after abandonment,,,,,,,,,"21/01/2017 Fully Commissioned ;
01/10/2016 Under construction [estimate] ;
16/01/2014 Approved ;
08/07/2013 Submitted (LPA)",08-Jul-13,(LPA) ,16-Jan-14,Approved (LPA) ,,,01-Oct-16,Under construction [Estimate],21-Jan-17,,,,16-Aug-19,Resonance has acquired the project from Wind NI.,RenewableUK comment
"Abbey Road, 209 Turbine 2",0.25,onshore,,Wind NI Ltd,Albion Community Power plc (100%),Vestas,Vestas V39,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Down,Northern Ireland,"580m NE of 209 Abbey Road, Millisle",,Ards and North Down Borough Council,X/2014/0150/F,54.5941,-5.53866,NW 71496 27856,40,59.5,39,Operational,Fully Commissioned,Consented,21-Nov-16,,1 years after abandonment,,,,,,,,,"21/11/2016 Fully Commissioned ;
01/08/2015 Under construction [estimate] ;
25/09/2014 Approved ;
19/03/2014 Submitted (LPA)",19-Mar-14,(LPA) ,25-Sep-14,Approved (LPA) ,,,01-Aug-15,Under construction [Estimate],21-Nov-16,,,,,,
Abbotsmoor,0.5,onshore,,Engena Ltd,Farmwind (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,Shropshire,West Midlands,"Haughton, SY11 4HF",,Shropshire Council,11/00498/FUL,52.8416,-2.92267,SJ 37949 27518,45,67,54,Under construction,Under construction,Consented,23-Jul-14,,30 years after consent,02-Nov-41,,,,,,,,"23/07/2014 Under construction ;
02/11/2011 Approved ;
08/09/2011 Submitted (LPA)",08-Sep-11,(LPA) ,02-Nov-11,Approved (LPA) ,,,23-Jul-14,Under construction ,,,,,,,
Aber Valley Community Turbine,0.5,onshore,,Seren Energy Ltd,Community Owned Project (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Wales,Caerphilly,South Wales,"Land At Graig-yr-Hufen Road, Senghenydd",,Caerphilly County Borough Council,16/0385/FULL,51.6199,-3.28198,ST 11344 92015,50,77,54,Consented,Approved,Consented,17-Oct-16,17-Oct-21,,,,,,,,,,"17/10/2016 Approved ;
17/05/2016 Submitted (LPA)",17-May-16,(LPA) ,17-Oct-16,Approved (LPA) ,,,,,,,,,,,
Aberarder,36,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,12,3,,Scotland,Highland,Scotland,"Carn Ghriogair, Aberarder Estate",,Highland Council,15/00737/FUL,57.2536,-4.24444,NH 64693 20333,,130,100,Consented,Approved on appeal,Consented,07-Apr-17,07-Apr-20,25 years after first generation,,,,,,,,,"07/04/2017 Approved on appeal ;
14/07/2016 On appeal ;
19/04/2016 Refused ;
27/02/2015 Submitted (LPA)",27-Feb-15,(LPA) ,19-Apr-16,Refused (LPA) ,07-Apr-17,Approved on appeal ,,,,,,,22-Nov-17,RES has requested a variation to the consent to allow turbines to be deployed with a 117m rotor at Aberarder,RenewableUK comment
Abercairney,66,onshore,,Force 9 Energy,Force 9 Energy (100%),,,24,2.75,,Scotland,Perth & Kinross,Scotland,"Crieff, Strath Earn.",,Perth & Kinross Council,,56.3822,-3.75861,NN 91506 22490,,,,Refused,Refused on appeal,Refused,08-Sep-06,,,,,,,,,,,"08/09/2006 Refused on appeal ;
24/05/2005 On appeal ;
01/05/2005 Refused ;
01/01/2004 Submitted (S36)",01-Jan-04,(S36) ,01-May-05,Refused (S36) ,08-Sep-06,Refused on appeal ,,,,,,,,,
Aberffrydlan,0.18,onshore,,Landowner (private or company),Landowner (private or company) (100%),Endurance,Endurance X29,1,0.18,Horizontal axis turbine,Wales,Powys,Mid Wales,"Llanwrin, Machynlleth, SY20 8NA",,Powys County Council,P/2015/0368,52.6181,-3.82372,SH 76631 03824,30.5,48.01,29.1,Operational,Fully Commissioned,Consented,01-Jul-16,,,,,,,,,,,"01/07/2016 Fully Commissioned ;
14/01/2016 Under construction [estimate] ;
29/09/2015 Approved ;
31/05/2015 Scoping Opinion Issued ;
08/04/2015 Submitted (LPA) ;
10/02/2015 Scoping",08-Apr-15,(LPA) ,29-Sep-15,Approved (LPA) ,,,14-Jan-16,Under construction [Estimate],01-Jul-16,,,,,,
Abergorki,9,onshore,,REG Windpower Ltd,REG Windpower Ltd (100%),,,3,3,,Wales,Rhondda Cynon Taff,South Wales,"Vraig Yr Aber, NE of Forch-Orky, Treorchy",,Rhondda Cynon Taf County Borough Council,13/0663/10,51.68,-3.50556,SS 96004 98989,,149.9,,Consented,Approved,Consented,09-Jul-15,,,,,,,,,,,"09/07/2015 Approved ;
27/06/2013 Submitted (LPA)",27-Jun-13,(LPA) ,09-Jul-15,Approved (LPA) ,,,,,,,,,28-Feb-18,Rhondda Cynon Taf County Borough Council has granted permission to increase the tip height to 150m.,17/1308/39 (Planning reference)
Abergwaun Community Turbine,0.225,onshore,,Community Owned Project,Community Owned Project (100%),Endurance,Endurance X29,1,0.225,Horizontal axis turbine,Wales,Pembrokeshire,Mid Wales,"Trebover Farm, Llanychaer, Fishguard",,Pembrokeshire County Council,13/0415/PA,51.9853,-4.96278,SM 96650 36018,30.5,45,29,Operational,Fully Commissioned,Consented,30-Sep-15,,25 years after fully commissioned,30-Sep-40,,,,,,,,"30/09/2015 Fully Commissioned [estimate] ;
29/06/2015 Under construction ;
01/08/2014 Approved on appeal ;
28/04/2014 On appeal ;
08/01/2014 Refused ;
15/08/2013 Submitted (LPA)",15-Aug-13,(LPA) ,08-Jan-14,Refused (LPA) ,01-Aug-14,Approved on appeal ,29-Jun-15,Under construction ,30-Sep-15,[Estimate],,,,,
