DATE,Temp_outturn,Normal_temp,Low_temp,High_temp,Off_wind,On_wind,Price,Demand,gas,nuclear,interconnector
19/10/2015,10.7,11,7.7,13.4,19604,5140,45.42,36243.04,251052,197078,65100
20/10/2015,11,11,7.7,13.4,19504,20033,45.31,35696.75,224741,197028,63312
21/10/2015,11.9,11,7.7,13.4,67659,47331,38.94,35440.56,169912,197025,82050
22/10/2015,12.4,11,7.7,13.4,59592,53625,41.92,34344.06,187311,197216,83924
23/10/2015,11.5,11,7.7,13.4,29528,42154,39.44,35178.15,201186,197232,92968
24/10/2015,11.5,11,7.7,13.4,63763,40935,37.89,31231.58,139535,191502,104118
25/10/2015,10.3,11,7.7,13.4,35042,32757,40.54,31009.96,154054,186804,117428
26/10/2015,10.8,10.5,7.4,13.3,58057,32062,40.21,34993.58,216421,174501,114858
27/10/2015,12.1,10.5,7.4,13.3,44217,23752,40.89,36149.08,236634,180142,107610
28/10/2015,12.1,10.5,7.4,13.3,23541,17834,38.78,36239.94,266076,186058,97744
29/10/2015,12.6,10.5,7.4,13.3,64636,28388,39.89,35962.31,214225,187334,70646
30/10/2015,13.1,10.5,7.4,13.3,63721,19579,39.67,35286.21,204022,187439,114982
31/10/2015,13,10.5,7.4,13.3,29927,36269,41.02,31309.58,174178,186493,111410
01/11/2015,11.8,10.5,7.4,13.3,3317,18359,39.11,31602.9,203723,184813,117352
02/11/2015,10.3,9.4,7.2,11.5,8643,9873,54.39,36847.54,281674,185524,106340
03/11/2015,10,9.4,7.2,11.5,18655,3192,52.47,37914.35,294184,186552,107686
04/11/2015,11.1,9.4,7.2,11.5,13688,3032,57.93,37687.42,309455,186248,104712
05/11/2015,12.5,9.4,7.2,11.5,53115,9472,35.65,36960.69,259311,186303,102078
06/11/2015,13.2,9.4,7.2,11.5,71444,30572,35.31,35459.77,199568,186130,109110
07/11/2015,13.8,9.4,7.2,11.5,68235,20729,37.12,31480.94,164704,186000,120304
08/11/2015,13,9.4,7.2,11.5,72485,52219,33.56,30667.06,119117,186000,124152
09/11/2015,12.8,8,5.3,11.1,91525,57716,32.83,34382.98,134867,186019,108894
10/11/2015,14.1,8,5.3,11.1,91227,53159,34.56,34647.83,159699,186004,96896
11/11/2015,14.1,8,5.3,11.1,83754,28877,35.86,34879.33,205792,185962,104562
12/11/2015,12.9,8,5.3,11.1,72962,54743,34.76,34577.27,181465,185971,99320
13/11/2015,10.6,8,5.3,11.1,93467,59385,36.22,34190.73,158853,185976,100934
14/11/2015,9.6,8,5.3,11.1,85886,35501,40.44,32652.48,158529,186409,111846
15/11/2015,12,8,5.3,11.1,93581,34755,37.59,30333.46,117313,193420,119286
16/11/2015,11.3,7.2,3.3,10.6,83603,61094,32.94,34707.73,164043,194389,101170
17/11/2015,11.1,7.2,3.3,10.6,72163,35060,35.11,36410.71,194036,194996,106848
18/11/2015,11.8,7.2,3.3,10.6,91076,50020,39.65,35336.65,152258,195389,109374
19/11/2015,11.1,7.2,3.3,10.6,84453,43990,37.37,36638.33,182824,195253,102080
20/11/2015,9.3,7.2,3.3,10.6,85466,31219,36.06,36530.98,192747,195335,110280
21/11/2015,6.7,7.2,3.3,10.6,82403,26067,36.92,34315.63,159928,195506,108516
22/11/2015,5.3,7.2,3.3,10.6,46743,10837,38.43,35625.19,197629,195875,112570
23/11/2015,4.2,7.5,3.2,10,46186,35205,37.48,40389.63,269659,195665,27616
24/11/2015,6.2,7.5,3.2,10,85608,36700,32.52,39723.85,236450,195258,20722
25/11/2015,7.7,7.5,3.2,10,80340,30264,34.15,39098.73,225108,195186,46134
26/11/2015,8.7,7.5,3.2,10,33718,30891,40.51,39447.02,266564,195135,18066
27/11/2015,10.1,7.5,3.2,10,82737,50087,35.87,37010.27,187730,195676,32980
28/11/2015,8,7.5,3.2,10,94821,55841,36.95,33486.96,84928,199206,121258
29/11/2015,9.2,7.5,3.2,10,91888,56343,31.13,32745.92,75132,200058,114936
30/11/2015,9.5,6.3,3.2,9.6,69910,27568,38.55,38903.56,208343,199840,103076
01/12/2015,10.2,6.3,3.2,9.6,67917,38655,43.22,37901.31,201314,199670,112918
02/12/2015,11.1,6.3,3.2,9.6,79072,42581,34.45,37602.13,182150,199873,49380
03/12/2015,10.8,6.3,3.2,9.6,69664,11118,36.17,38094.06,197542,207718,102712
04/12/2015,10.2,6.3,3.2,9.6,91257,56029,33.32,35924.29,135674,209277,94620
05/12/2015,10.9,6.3,3.2,9.6,75910,55532,28.04,32720.81,127020,209907,100000
06/12/2015,11.4,6.3,3.2,9.6,66030,39575,28.31,32572.4,133986,210126,94362
07/12/2015,11.7,5.2,2.3,8.9,66731,42785,36.35,36513.56,158884,212414,90494
08/12/2015,11.6,5.2,2.3,8.9,88006,58333,31.59,36304.58,149393,212784,88566
09/12/2015,10.1,5.2,2.3,8.9,78654,60749,38.15,37405.27,148158,212701,50722
10/12/2015,9.8,5.2,2.3,8.9,85781,54825,37.52,37870.27,191936,212869,64692
